date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2015-07-30,,,,,,,39311.09375,,,,,121335493201,,4449897,6911
2015-07-31,,,,,,,36191.71875,,,,,602941851594,,3994458,6863
2015-08-01,,,,,,,27702.1875,,,,,887254173531,,3044344,5293
2015-08-02,,,,,,,28227.1875,,,,,1020253707550,,3112348,5358
2015-08-03,,,,,,,27976.71875,,,,,1125837358850,,3099953,5280
2015-08-04,,,,,,,28478.4375,,,,,1216587344570,,3150854,5368
2015-08-05,,,,,,,27528.59375,,,,,1327837857490,,3030780,5235
2015-08-06,,,,,,,27075.46875,,,,,1380846362250,,2986060,5116
2015-08-07,5684487.22712,5684487.22712,2050,0,2.83,164329,27437.65625,37.3184135113,1086,41.6117128722,0.00132077886624,1470838650660,1977,3282693,5189
2015-08-08,37899681.7885,37899681.7885,2881,167911008,2.79,674188,27943.4375,68.0999700719,826,0.279,0.00124319442967,1586123528940,1973,3508878,5256
2015-08-09,823605.517746,823605.517746,1329,42637600,0.706136,532170,27178.28125,14.0989497032,732,7.06136,0.00122301053332,1709479787480,1213,3167541,5123
2015-08-10,1194050.4877,1194050.4877,2037,43130000,0.713989,405283,27817.34375,31.1651444384,1001,0.359784483416,0.00122826248427,1837695763270,1451,3316883,5255
2015-08-11,1053129.87257,1053129.87257,4963,42796500,0.708087,1463100,28027.8125,11.311448586,2342,0.0340063030272,0.00121796486677,2036390797500,3029,3653834,5280
2015-08-12,797474.189141,797474.189141,2036,64018400,1.06,2150620,27370.9375,32.5869924044,906,7.63496196467,0.00124406951189,2207079742290,1479,3348157,5124
2015-08-13,2182919.67454,2182919.67454,2842,73935400,1.22,4068680,28268.125,24.9291691099,1274,9.9475637699,0.00121009572004,2336979708060,2486,3519008,5286
2015-08-14,4162001.56084,4162001.56084,3174,109594000,1.81,4637030,31106.71875,14.3548341128,1594,18.7501433743,0.00121011072806,2671253150470,3015,3832496,5809
2015-08-15,13902410.5328,13902410.5328,2284,109160000,1.8,2554360,28512.65625,8.83659302805,1313,18,0.00120976066167,3378028425870,2170,3435520,5382
2015-08-16,2898479.71124,2898479.71124,2440,102028000,1.68,3550790,27094.53125,6.67723792491,1202,12.0070294226,0.00120780126594,3631632144440,2340,3287835,5132
2015-08-17,5383055.46816,5383055.46816,2512,95819696,1.58,1942830,28118.90625,7.64281183963,1249,11.6983602752,0.00121022797205,3908024035250,2410,3393782,5347
2015-08-18,2409105.86945,2409105.86945,2494,88143200,1.22,1485680,26162.8125,11.9060713402,1294,7.82349246966,0.00120569277268,4377694725370,2324,3208720,4948
2015-08-19,1691424.30403,1691424.30403,3246,84663904,1.17,1486240,27282.03125,15.4309506695,1350,6.21243964549,0.00121403885822,4419573021820,3147,3392043,5192
2015-08-20,592806.204465,592806.204465,2303,90809000,1.25,2843760,21057.03125,6.85556694271,1167,6.2484370625,0.00118448776127,4469109431850,2184,2615975,4024
2015-08-21,894127.676986,894127.676986,3919,107266000,1.48,2020970,26690.9375,7.85504172471,1425,7.4,0.00105,4415252643650,3809,3396674,5088
2015-08-22,874020.858748,874020.858748,3579,101404000,1.4,948310,27550.46875,42.5471718296,1414,5.797294888,0.00115196162067,4828340997900,3455,3415807,5271
2015-08-23,697311.417317,697311.417317,4190,99894496,1.38,1589300,26255.625,8.0497676729,1570,5.13557213206,0.00105,5138351075670,4025,3411809,5013
2015-08-24,630283.148711,630283.148711,4432,97791600,1.35,924920,27333.28125,8.8762854198,1436,4.03554478099,0.00105,5179118882690,4374,3486486,5184
2015-08-25,505362.445352,505362.445352,4487,89321904,1.23,1307180,26736.09375,8.25975582511,1580,4.1966506161,0.00105,5173287673220,4296,3464583,5097
2015-08-26,508937.45783,508937.45783,4156,82384400,1.13,1056750,26137.96875,7.44772927856,1527,3.15800381357,0.00105,5587304091730,4040,3345268,5003
2015-08-27,323871.827426,323871.827426,5590,85106096,1.17,686662,24532.8125,8.67096304289,1591,2.86082101384,0.00105,5925309861490,5441,3332930,4708
